"Поисковая система","Поисковая система (детально)","Поисковая фраза","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте","Достижения избранных целей","Доход по избранным целям, RUB","Конверсия посетителей по избранным целям"
"Яндекс","Мобильный Яндекс","i-repair","3","1","0.6666666666666665","1.0","00:00:07","0","0.0","0.0"
"Яндекс","Мобильный Яндекс","iphone 14 pro установить защитное стекло","3","1","0.0","1.3333333333333333","00:01:15","3","0.0","1.0"
"Яндекс","Мобильный Яндекс","irepair.ru","3","1","0.0","7.333333333333333","00:03:22","1","0.0","1.0"
"Яндекс","Мобильный Яндекс","сколько стоит замена материнской платы на айфон 14 про","3","2","0.6666666666666665","1.3333333333333333","00:00:15","0","0.0","0.0"
"Яндекс","Мобильный Яндекс","сколько стоит ремонт iphone","3","3","0.33333333333333326","2.0","00:00:00","0","0.0","0.0"
"Яндекс","Мобильный Яндекс","сколько стоит ремонт дисплея айфона","3","3","0.33333333333333326","1.6666666666666667","00:00:00","0","0.0","0.0"
"Яндекс","Мобильный Яндекс","сколько стоит ремонт экрана айфона","3","3","0.6666666666666665","1.3333333333333333","00:00:00","0","0.0","0.0"
"Яндекс","Мобильный Яндекс","стоит ремонт iphone","3","3","0.33333333333333326","1.6666666666666667","00:00:00","0","0.0","0.0"
"Яндекс","Яндекс.Карты","irepear","3","1","0.33333333333333326","1.6666666666666667","00:05:34","1","0.0","1.0"
"Яндекс","Яндекс.Карты","ремонт apple a1475","3","1","0.33333333333333326","3.0","00:02:32","0","0.0","0.0"
"Mail.ru","Mail.ru, результаты поиска","Не определено","3","3","0.0","1.6666666666666667","00:01:20","0","0.0","0.0"
"Yahoo!","Yahoo, результаты поиска","Не определено","3","3","0.33333333333333326","1.0","00:00:10","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","88005552190","2","1","1.0","1.0","00:00:00","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","Irepair lab","2","1","0.0","8.5","00:14:29","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","a2337 macbook air замена матрицы","2","1","0.0","3.5","00:20:00","2","0.0","1.0"
"Яндекс","Яндекс, результаты поиска","ipad 1 ремонт","2","2","1.0","1.0","00:00:00","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","ipad pro 9 7 дюймов ремонт с выездом","2","1","0.0","1.5","00:00:24","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","iphone 12 замена дисплея без ошибки","2","2","0.0","1.0","00:00:19","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","irepair екат","2","1","0.5","1.0","00:00:08","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","irepair сервис","2","1","0.0","1.5","00:03:41","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","irepare","2","2","0.0","1.0","00:00:15","1","0.0","0.5"
"Яндекс","Яндекс, результаты поиска","irepeir","2","2","0.0","10.0","00:05:29","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","Восстановление краски корпуса айфон 16 к кому оьратиться","2","1","0.5","1.0","00:00:37","2","0.0","1.0"
"Яндекс","Яндекс, результаты поиска","Ремонт Touch ID iPhone","2","2","0.0","1.0","00:00:51","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","Сервисный центр irepair","2","1","0.5","3.5","00:00:17","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","аир рэпэир большая садовая","2","1","0.5","1.5","00:00:57","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","айрепаир","2","1","0.5","2.5","00:01:45","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","айрепеир","2","1","0.0","2.0","00:00:27","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","где успешно чинят iphone 12 с ошибкой 1110","2","1","0.5","1.0","00:00:38","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","замена hdd imac 2019 сервис","2","1","0.0","1.5","00:01:48","1","0.0","1.0"
"Яндекс","Яндекс, результаты поиска","замена аккумулятора macbook air m1 цена","2","2","0.5","1.5","00:00:16","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","замена аккумулятора macbook pro 14","2","2","0.0","1.5","00:00:21","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","замена аккумулятора айфон 13","2","2","0.5","1.0","00:00:07","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","замена дисплея ipad air 4","2","1","0.0","2.5","00:02:23","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","замена дисплея на айфон 14 про макс","2","1","0.5","1.5","00:00:24","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","замена задней крышки айфон 12 про макс","2","2","1.0","1.0","00:00:03","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","замена задней крышки айфон 13 про макс цена","2","2","0.0","1.5","00:00:25","0","0.0","0.0"
